brand,item,price,image_url,product_url
PARESSE,Veste de pyjama,"59,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw4d4916c9/MPARE260_4908_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/veste-de-pyjama-prune-MPARE260_4908.html
TAMTAM SHAKER,Legging,"29,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dwd9de17ff/KTAMT272_1818_AP1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/legging-lipstick-rose-KTAMT272_1818.html
PARESSE PRINT,Veste de pyjama,"59,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw06f57639/MPRIN260_1942_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/veste-de-pyjama-royal-ginger-bread-MPRIN260_1942.html
SUPIMA,T-shirt manches courtes,"39,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dwb3eaa1e7/LSUPI253_3088_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/t-shirt-manches-courtes-bleu-marine-LSUPI253_3088.html
ATTITUDE,Veste de pyjama,"59,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw6d0da898/MATTI260_3058_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/veste-de-pyjama-bleu-orage-MATTI260_3058.html
ATTITUDE,Pantalon,"59,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw38bb6e2d/MATTI244_3058_PA.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/pantalon-bleu-orage-MATTI244_3058.html
TAMTAM SHAKER,Short de pyjama,"29,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dwa437de00/KTAMT248_1893_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/short-de-pyjama-apache-ivoire-KTAMT248_1893.html
ATTITUDE,Veste de pyjama,"59,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw8c69ae75/MATTI260_2115_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/veste-de-pyjama-gris-fume-MATTI260_2115.html
PIMPANT,Tunique manches longues,"59,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw1e99e75f/MPIMP231_2000_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/tunique-manches-longues-noir-MPIMP231_2000.html
HEATTECH® INNERWEAR,T-shirt sans manches,"19,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dwa96ec721/MINNE270_6104_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/t-shirt-sans-manches-beige-poudre-MINNE270_6104.html
PIMPANT,Pantalon carotte,"59,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dwf6998cb8/MPIMP235_1940_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/pantalon-carotte-rayure-rouge-rubis-MPIMP235_1940.html
ATTITUDE IMPRIME,Veste de pyjama,"59,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dwff067155/MATPR260_1955_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/veste-de-pyjama-montagne-noir-MATPR260_1955.html
DIMANCHE,Veste de pyjama,"59,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw6941500f/KDIMA260_5007_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/veste-de-pyjama-jaune-cumin-KDIMA260_5007.html
PIMPANT,Tunique manches longues,"59,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw69197309/MPIMP231_1940_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/tunique-manches-longues-rayure-rouge-rubis-MPIMP231_1940.html
CARESSE,Nuisette longue,"129,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw7ddc176b/MCARE246_1010_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/nuisette-longue-blanc-glace-MCARE246_1010.html
PARESSE PRINT,Veste de pyjama,"59,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw3c1850e2/MPRIN260_1954_AP1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/veste-de-pyjama-prairie-noir-MPRIN260_1954.html
PARESSE PRINT,Pantalon carotte,"49,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dwab5a4333/MPRIN235_1954_AP1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/pantalon-carotte-prairie-noir-MPRIN235_1954.html
DOUCEUR,Pantalon,"39,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw465d7e6d/MDOUC244_2000_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/pantalon-noir-MDOUC244_2000.html
TAMTAM SHAKER,Legging,"29,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw7cf08797/KTAMT272_1816_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/legging-croissant-brun-KTAMT272_1816.html
TAMTAM SHAKER,Legging,"29,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dwb1b60b4b/KTAMT272_1834_AP1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/legging-capucine-noir-KTAMT272_1834.html
DIMANCHE,Pantalon,"39,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dwf41ace72/KDIMA244_2000_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/pantalon-noir-KDIMA244_2000.html
TAMTAM SHAKER,Short de pyjama,"29,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw6ca59e52/KTAMT248_1904_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/short-de-pyjama-liberte-beige-poudre-KTAMT248_1904.html
DIMANCHE,T-shirt manches courtes,"39,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw2b3e439e/KDIMA253_2000_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/t-shirt-manches-courtes-noir-KDIMA253_2000.html
DOUCEUR,Short de pyjama,"29,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw08a48597/MDOUC248_7082_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/short-de-pyjama-vert-cypres-MDOUC248_7082.html
