brand,item,price,deal_price,img_url,product_url
La Perla,bas de pyjama Maison,92 €,,https://cdn-images.farfetch-contents.com/14/35/47/54/14354754_23174866_300.jpg,https://www.farfetch.com/fr/shopping/women/la-perla-bas-de-pyjama-maison-item-14354754.aspx?storeid=9359
TEKLA,short de pyjama classique,90 €,,https://cdn-images.farfetch-contents.com/15/25/30/93/15253093_27900431_300.jpg,https://www.farfetch.com/fr/shopping/women/tekla-short-de-pyjama-classique-item-15253093.aspx?storeid=9359
Morgan Lane,haut de pyjama Kinsley,324 €,162 €,https://cdn-images.farfetch-contents.com/14/41/85/22/14418522_22176615_300.jpg,https://www.farfetch.com/fr/shopping/women/morgan-lane-haut-de-pyjama-kinsley-item-14418522.aspx?storeid=10745
Marc Jacobs,bas de pyjama,440 €,264 €,https://cdn-images.farfetch-contents.com/14/41/86/53/14418653_21039812_300.jpg,https://www.farfetch.com/fr/shopping/women/marc-jacobs-bas-de-pyjama-item-14418653.aspx?storeid=11696
Chinti and Parker,pyjama à rayures,487 €,,https://cdn-images.farfetch-contents.com/14/00/01/38/14000138_18184394_300.jpg,https://www.farfetch.com/fr/shopping/women/chinti-and-parker-pyjama-a-rayures-item-14000138.aspx?storeid=10241
La Doublej,chemise de pyjama Colombo,390 €,,https://cdn-images.farfetch-contents.com/15/52/25/12/15522512_27845149_300.jpg,https://www.farfetch.com/fr/shopping/women/la-doublej-chemise-de-pyjama-colombo-item-15522512.aspx?storeid=10929
TEKLA,chemise de pyjama classique,150 €,,https://cdn-images.farfetch-contents.com/15/25/31/22/15253122_27920323_300.jpg,https://www.farfetch.com/fr/shopping/women/tekla-chemise-de-pyjama-classique-item-15253122.aspx?storeid=9359
Desmond & Dempsey,pyjama à liseré contrastant,170 €,,https://cdn-images.farfetch-contents.com/14/54/53/41/14545341_23695658_300.jpg,https://www.farfetch.com/fr/shopping/women/desmond-dempsey-pyjama-a-lisere-contrastant-item-14545341.aspx?storeid=9359
Olivia von Halle,pyjama Coco en soie ,495 €,,https://cdn-images.farfetch-contents.com/14/48/29/23/14482923_23250557_300.jpg,https://www.farfetch.com/fr/shopping/women/olivia-von-halle-pyjama-coco-en-soie-item-14482923.aspx?storeid=9359
Morgan Lane,bas de pyjama Chantal,270 €,162 €,https://cdn-images.farfetch-contents.com/12/31/91/91/12319191_11086326_300.jpg,https://www.farfetch.com/fr/shopping/women/morgan-lane-bas-de-pyjama-chantal-item-12319191.aspx?storeid=10745
TEKLA,chemise de pyjama classique,150 €,,https://cdn-images.farfetch-contents.com/15/25/30/97/15253097_27916790_300.jpg,https://www.farfetch.com/fr/shopping/women/tekla-chemise-de-pyjama-classique-item-15253097.aspx?storeid=9359
Morgan Lane,haut de pyjama Joanie,249 €,199 €,https://cdn-images.farfetch-contents.com/14/96/76/14/14967614_25718920_300.jpg,https://www.farfetch.com/fr/shopping/women/morgan-lane-haut-de-pyjama-joanie-item-14967614.aspx?storeid=10745
Ports 1961,chemise d'inspiration pyjama,1 485 €,743 €,https://cdn-images.farfetch-contents.com/15/52/00/84/15520084_27815527_300.jpg,https://www.farfetch.com/fr/shopping/women/ports-1961-chemise-dinspiration-pyjama-item-15520084.aspx?storeid=10093
La Perla,pyjama à bretelles,245 €,,https://cdn-images.farfetch-contents.com/16/02/67/48/16026748_29978751_300.jpg,https://www.farfetch.com/fr/shopping/women/la-perla-pyjama-a-bretelles-item-16026748.aspx?storeid=9336
Chinti and Parker,pyjama Bonne Nuit,216 €,,https://cdn-images.farfetch-contents.com/15/67/14/90/15671490_28891142_300.jpg,https://www.farfetch.com/fr/shopping/women/chinti-and-parker-pyjama-bonne-nuit-item-15671490.aspx?storeid=9040
Eres,short de pyjama Dutyfree,215 €,,https://cdn-images.farfetch-contents.com/15/25/54/91/15255491_27052910_300.jpg,https://www.farfetch.com/fr/shopping/women/eres-short-de-pyjama-dutyfree-item-15255491.aspx?storeid=12673
TEKLA,short de pyjama classique,90 €,,https://cdn-images.farfetch-contents.com/15/25/32/57/15253257_27897491_300.jpg,https://www.farfetch.com/fr/shopping/women/tekla-short-de-pyjama-classique-item-15253257.aspx?storeid=9359
